representative	clustername	nObs	min_qupm	max_qupm	nCoeffsH0	nCoeffsH1	rssH0	rssH1	df1	df2	F_statistic	pEC50H1	slopeH1	pEC50_slopeH1	detected_effectH1	nObsRound	pi	FDR
LNT	LNT	40	5	9	8	20	0.700267206503387	0.0912035854586218	12	20	8.73848625734309	6.63794924729339	-2.93733585752974	0.0195288109628392	stability	40	0.778451178451179	0.0162177328843996
RPSQ	RPSQ	50	2	7	10	24	1.54001553154988	0.266055702338102	14	26	8.73579118491019	7.69752084325462	-6.73452018512147	0.01941422979732	stability	50	0.773837918057985	0.0094938448280262
TNAA	TNAA	50	15	26	10	24	0.980147186452974	0.159123300219634	14	26	8.73377705099852	7.07360846600638	10.2188063623208	0.00511264033052842	expression/solubility	50	0.77277786611544	0.00943714905624846
GSTA	GSTA	50	3	9	10	24	4.09787511712063	0.756987102925105	14	26	8.7054304688249	6.30360446343886	3.34141650412285	0.0114001177683233	expression/solubility	50	0.771799628942486	0.00973600449354054
ATPA	ATPA	50	25	35	10	24	0.749607846911165	0.116338226685112	14	26	8.64306883929982	6.54512171636748	-1.48510342033025	0.0070171322849488	expression/solubility	50	0.77078032230704	0.00985472558200781
TYRS	TYRS	40	12	22	8	20	0.881777151057208	0.125754652610596	12	20	8.63597883387274	5.69897000433602	-1.38258229042968	-0.0214908673752751	stability	40	0.775757575757576	0.0159714795008913
HISD	HISD	50	10	13	10	24	1.27986648053953	0.218938835917809	14	26	8.62569302277667	6.12394116582334	2.20380181439518	0.00579870329767845	expression/solubility	50	0.76972010178117	0.00979643765903308
GABD	GABD	40	5	19	8	20	0.879349110980612	0.126161609521177	12	20	8.58298845152736	6.67583835648928	1.92220347067849	0.0235912044863682	expression/solubility	40	0.773168103448276	0.0161825882117081
PROS	PROS	40	12	34	8	20	3.61426249153165	0.629927499350371	12	20	8.57739592260776	6.43061530119231	-2.58289390323141	0.0096755066854831	stability	40	0.770474137931034	0.0159408442330559
GLPX	GLPX	40	7	16	8	20	1.34539187839013	0.212637509150623	12	20	8.55456665637692	7.69897000433602	-4.38039270945607	0.0241572517339371	expression/solubility	40	0.767780172413793	0.0157045944357367
MEND	MEND	50	3	7	10	24	4.79770987650014	0.904286837570298	14	26	8.5539296284037	6.716445980117	7.33800561076276	0.0127900883362158	stability	50	0.768700630864656	0.00991310768309624
UBII	UBII	40	3	8	8	20	18.7046370548116	3.42220779936618	12	20	8.53747501815502	6.67125678881502	-3.94893046313825	0.00922611312097906	stability	40	0.765086206896552	0.0154736536226269
YAJG	YAJG	50	5	6	10	24	1.59424728174313	0.282308666841761	14	26	8.53518238957992	5.69897000433602	-5.13820954401811	-0.010703103419059	expression/solubility	50	0.767640354132429	0.00985484238413253
RIBF	RIBF	40	4	14	8	20	2.89873021680688	0.500975975862841	12	20	8.52288040871409	6.7163559535574	5.61640577370708	0.0147239977326119	stability	40	0.76239224137931	0.0152478448275862
ACNA	ACNA	50	4	25	10	24	1.80555026865271	0.324354403550874	14	26	8.50833204038018	6.43661716096082	3.2299612365282	0.014897885932374	expression/solubility	50	0.766580077400202	0.00979709964390392
YIBF	YIBF	40	3	6	8	20	2.2865969109725	0.388555865064298	12	20	8.50108047320379	6.55721036986914	3.05212029042918	0.0171938182998284	expression/solubility	40	0.759698275862069	0.0150269988632058
YGIN	YGIN	50	2	5	10	24	1.7048032099568	0.306757814701128	14	26	8.44438362052296	6.58443327521467	3.15180334543397	0.0166147104193651	expression/solubility	50	0.765560385961192	0.00991127285396186
YEAY	YEAY	50	4	6	10	24	1.92923281841537	0.351286776544537	14	26	8.43185969497785	7.21400235706679	-3.54473981680414	0.00988798187918035	stability	50	0.764500053016647	0.00985355623888123
HCHA	HCHA	50	4	8	10	24	1.46386563566598	0.260015221329829	14	26	8.42415452655417	6.29262070633884	3.84984628038997	0.0126337720821293	expression/solubility	50	0.763439720072103	0.00979635039030574
PPK	PPK	30	10	24	6	16	1.19491816509222	0.168870693384847	10	14	8.3064337406947	6.19328727906752	1.38362868653747	0.0188525835415347	expression/solubility	30	0.844296991190939	0.0350799454086376
RRAA	RRAA	50	2	4	10	24	0.669753311267566	0.106372806245941	14	26	8.23184447424636	6.43060541699269	3.69376842955423	0.0141273318203311	stability	50	0.762581534708596	0.0105820785653395
SPEA	SPEA	50	10	24	10	24	3.58773310218342	0.691607472095759	14	26	8.22568520865597	5.69897000433602	-3.46356670009373	-0.0152047557430097	stability	50	0.761520920613035	0.0105210127189959
YGHG	YGHG	50	3	5	10	24	1.30389700966585	0.235644697744284	14	26	8.14881250093121	7.05130005146593	-5.84947209515871	0.00529595764309692	stability	50	0.760540970564837	0.0107937037307237
PHOP	PHOP	30	6	14	6	16	0.858170628273733	0.113720269564053	10	14	8.1428656436963	6.54721376606687	2.68335927207264	0.0202318605630405	expression/solubility	30	0.842201624899874	0.0356765966103419
LPTE	LPTE	50	6	11	10	24	1.28236063006519	0.231748005018776	14	26	8.13139942308645	5.69897000433602	-4.69666861421343	-0.0104940735264217	stability	50	0.759520526148297	0.0108974684186495
LPOA	LPOA	50	19	25	10	24	0.565787684844269	0.0868384208730317	14	26	8.12170979663398	5.69897000433602	-4.3555094898542	-0.00958710716453624	expression/solubility	50	0.758459743290548	0.010835139189865
ELBB	ELBB	50	3	7	10	24	1.8052877108597	0.339411632399348	14	26	8.08155342621871	6.34772044005267	4.15981920766212	0.0122339989886646	expression/solubility	50	0.757398960432799	0.0107733472820183
IAAA	IAAA	40	3	4	8	20	2.55353774938025	0.459018796970407	12	20	8.06632543873707	6.63782004466011	3.02398058677091	0.0178710768492903	expression/solubility	40	0.75720829964969	0.0156379974927653
CYSQ	CYSQ	40	5	9	8	20	1.64364125329446	0.283910243872469	12	20	8.03505147367721	6.4619946079788	2.91944700199747	0.0171549485849502	expression/solubility	40	0.754513608191862	0.0154147941458552
SPEC	SPEC	40	8	14	8	20	0.639074314887176	0.0889786999787827	12	20	8.02474565295284	6.38413813523781	-3.02257049619942	0.0133611588523435	expression/solubility	40	0.751818916734034	0.0151963398063262
GLTP	GLTP	50	3	4	10	24	1.89319062887053	0.361310164642819	14	26	7.97858835123855	6.31961351158151	3.30972488581228	0.00856685807524142	expression/solubility	50	0.75641841714407	0.0110378653145487
YEJB	YEJB	40	2	3	8	20	2.64211834612465	0.481104870048857	12	20	7.9721972074248	6.61531243808066	3.41563588109523	0.0152361133777146	stability	40	0.749124225276206	0.0149824845055241
GPSA	GPSA	40	7	9	8	20	0.988773205805826	0.16053858608916	12	20	7.84997151864142	6.38570910184257	-3.5816980199429	0.0100044680502216	expression/solubility	40	0.746530117234874	0.0151638930063334
WECE	WECE	30	5	6	6	16	0.758836154798801	0.100815624089165	10	14	7.84175845855171	6.04170479049513	-6.30869118540479	-0.023105731485815	stability	30	0.840009155413138	0.0356716216682292
PGL	PGL	50	3	12	10	24	3.06136516960614	0.610685690963788	14	26	7.83307358244383	6.38380340936097	2.72103417342865	0.0138485730575437	expression/solubility	50	0.75547774417741	0.0114613076573923
MDAB	MDAB	50	4	9	10	24	0.579450013362326	0.0932852441775692	14	26	7.82923875201622	6.48832257181874	2.99495648591086	0.017175124235107	expression/solubility	50	0.75441667992997	0.0113965072925591
ARGP	ARGP	30	5	9	6	16	0.613313761115377	0.0749928193269235	10	14	7.81512048271334	5.81651457632456	2.81733806686071	-0.0102808887763692	stability	30	0.837816184044867	0.0356637970235315
ACS	ACS	30	16	21	6	16	0.518481570082055	0.0584507302600149	10	14	7.7637741783826	6.6365639299847	9.37051109524861	-0.00536072381141732	expression/solubility	30	0.835527068787913	0.0350921368890924
ILVD	ILVD	50	8	21	10	24	4.31846660002613	0.880276283909963	14	26	7.75196871121524	6.20618097190733	-7.63847482674817	-0.0111840426246985	stability	50	0.75335561568253	0.0113322560833601
DTPA	DTPA	50	4	6	10	24	0.856736460599093	0.152611742631624	14	26	7.75043917564702	6.34348966085452	-2.65350145292473	0.00592857532242006	expression/solubility	50	0.752294551435089	0.0112685470784581
TREA	TREA	50	4	11	10	24	2.98308907260763	0.60269521273107	14	26	7.70378055951867	6.40332274631421	3.13361895613948	0.012679433853868	stability	50	0.751233487187649	0.0112053734433452
METB	METB	40	4	9	8	20	0.853424987809231	0.13730726028707	12	20	7.65820657910538	6.46971299251918	3.01445529284473	0.0151513977762727	expression/solubility	40	0.744135885683473	0.0161101583498484
NUDI	NUDI	30	2	3	6	16	1.70468353750108	0.277996008574156	10	14	7.62764058239652	6.74696816551538	2.51844389981152	0.00136076303864905	stability	30	0.833524158461186	0.0361924963542357
DEGQ	DEGQ	50	5	15	10	24	1.05824907652625	0.198715389518897	14	26	7.59341736412592	6.66398135575685	1.80270864440064	0.0174137831849888	expression/solubility	50	0.750252029500716	0.0114578238814963
IVY	IVY	50	2	3	10	24	2.68233982394307	0.546174217729278	14	26	7.58591022772792	6.53084264723337	2.59121379917397	0.0191002177881039	expression/solubility	50	0.749190852655595	0.0113939442174705
PPNN	PPNN	40	11	18	8	20	0.891615057164557	0.146448204867956	12	20	7.58587702991593	6.69763813792655	2.32806945826716	0.0136142326511824	stability	40	0.741539706080626	0.0162684731436056
TATD	TATD	30	5	5	6	16	0.542303942112062	0.0656860543382653	10	14	7.50994577343561	6.60590218887961	-1.76239617668621	0.00199765089282191	expression/solubility	30	0.831519871721452	0.0372564098368703
YECS	YECS	30	2	2	6	16	3.81200121562938	0.677322794124431	10	14	7.47288795753072	6.76173540329398	1.77665546630024	0.0118831722907283	expression/solubility	30	0.829324169530355	0.0372132640173877
YAIW	YAIW	50	5	8	10	24	1.15045947822536	0.222428836879497	14	26	7.44283973037064	6.35959412118377	-2.30596277342417	0.0114760490754303	stability	50	0.7483679210233	0.0122657812781827
YCCJ	YCCJ	40	2	4	8	20	7.35242524327161	1.48626792856426	12	20	7.42364828078943	5.69897000433602	19.2512917680677	-0.0109805153364792	expression/solubility	40	0.739341608202914	0.0179234329261313
YEAK	YEAK	40	2	9	8	20	2.91012111184674	0.569812602368017	12	20	7.38540151512879	6.24184656253242	4.95736978500338	0.00987357606814204	stability	40	0.736643281165677	0.0176794387479763
APBE	APBE	50	5	8	10	24	0.383894684340561	0.056647967336622	14	26	7.38053498059856	6.95618278400037	-2.99348330264776	0.0122843467622815	expression/solubility	50	0.747306406241707	0.0121977698539452
NFSB	NFSB	40	2	14	8	20	2.004690111853	0.382824062718732	12	20	7.36173503583358	6.63306082634	3.01526450887278	0.0150734497385503	stability	40	0.73394495412844	0.0174402761377055
RPLI	RPLI	50	6	18	10	24	2.10994551751614	0.434878608578305	14	26	7.35791363678589	7.69522813988166	-8.28666957812636	0.0179465532248703	stability	50	0.746244891460114	0.0121303181945163
CYOB	CYOB	50	6	9	10	24	0.388785091771907	0.0579573180176281	14	26	7.35601788749155	6.70304660588508	-1.85779364766322	0.0172265836722282	expression/solubility	50	0.74518337667852	0.0120634194175416
RLME	RLME	40	2	8	8	20	1.55934319374471	0.290542855636552	12	20	7.3489555735281	6.36746514785191	-2.94905791261629	0.0115608850052008	expression/solubility	40	0.731246627091203	0.0172058029903813
YECC	YECC	30	5	7	6	16	0.940053274824553	0.143209902677438	10	14	7.33820409697755	6.83126550952417	4.49927007804403	0.0249471206510398	stability	30	0.827127964257074	0.0371684085204128
BETB	BETB	30	15	17	6	16	0.5673816034468	0.0725410185515053	10	14	7.33587486272148	6.71964566855641	2.22038288883783	0.0253996111553454	expression/solubility	30	0.824836751059686	0.0366021308282736
LEPB	LEPB	50	7	14	10	24	1.23321349414256	0.244189573144765	14	26	7.31340352157151	6.32393620672718	-3.53759546217201	0.000879106565867571	expression/solubility	50	0.744240365219238	0.0124546346832607
GUAB	GUAB	50	15	21	10	24	0.640426743017117	0.114218261703098	14	26	7.28400993636214	7.69896980595917	-5.16269515721653	0.00504106072299955	stability	50	0.743218134522482	0.0125380295051557
PYKA	PYKA	50	2	24	10	24	1.70634802251215	0.349733520882529	14	26	7.27843886552687	6.18156932453059	-4.00587717729731	0.00869894357346618	expression/solubility	50	0.742156394330307	0.0124694292974525
PTH	PTH	40	4	11	8	20	1.21361185761462	0.220589469102373	12	20	7.27371360472161	7.69897000433602	-3.02478935338894	0.0183562819495665	stability	40	0.728646606395898	0.0173318852977665
FOLP	FOLP	50	3	12	10	24	1.52268889736943	0.309520414309292	14	26	7.26891548299905	6.17281143484412	-1.03420483132097	0.002728819865207	expression/solubility	50	0.741173347491372	0.0127015593824126
YCED	YCED	50	5	7	10	24	0.907462486319968	0.173677912002206	14	26	7.26089941629503	7.34806004868585	-3.23179709557926	0.0255682825813798	stability	50	0.740150791122438	0.012781720489263
LPTB	LPTB	40	5	11	8	20	0.635827840935309	0.09940992418252	12	20	7.25504198943021	6.50851965593439	-0.907015555273703	0.015484953999002	stability	40	0.725947915261098	0.0171016576191316
YDDB	YDDB	50	4	12	10	24	4.71148074772004	1.01699820377951	14	26	7.24707570306197	7.16154602774196	5.26151193247349	-0.000285168927961824	expression/solubility	50	0.739128126161525	0.0128608293952105
FDHD	FDHD	50	4	6	10	24	0.526012124226489	0.089614098574904	14	26	7.23510365515039	5.80463364201688	-7.83570283834092	-0.0186700238501278	expression/solubility	50	0.738105352591334	0.0129388986111628
RPSE	RPSE	50	7	13	10	24	2.25618700649346	0.4735543766802	14	26	7.23470966812554	7.69897000433602	-6.40031836370765	0.0193140502827715	stability	50	0.737043330501274	0.0128690105325619
CPDB	CPDB	50	5	30	10	24	2.1238921375325	0.445007729695862	14	26	7.21900863083662	6.56993458385255	-3.34811218459965	0.0139614898711862	stability	50	0.735981308411215	0.0127996749288907
YGHA	YGHA	40	3	9	8	20	1.07109071559087	0.192033253322568	12	20	7.21877205780278	6.36834449863763	3.42844892471849	0.0172499626589141	expression/solubility	40	0.723249224126299	0.0168758152296136
CHRR	CHRR	40	2	4	8	20	2.67869191247906	0.535388991752868	12	20	7.16573260953654	6.52671060514485	2.68865444556126	0.0160605126134962	expression/solubility	40	0.720550532991499	0.0166542340172563
HSLO	HSLO	50	2	11	10	24	2.74450922292901	0.586941749104988	14	26	7.15955036472239	6.16104407975365	-4.05683335209154	0.00638726596461094	expression/solubility	50	0.735075419587848	0.0133123894885988
SLT	SLT	30	2	21	6	16	1.471916395203	0.251545750577523	10	14	7.10980370940917	5.85769350454066	1.55062815957615	-0.00112069124412722	expression/solubility	30	0.822828329131332	0.0375859854047645
PGM	PGM	50	5	26	10	24	1.2416808463161	0.252787241403505	14	26	7.09385537764792	5.77969148975507	-0.59858278904506	0.026760377236995	stability	50	0.73401317187168	0.0132410219239597
KGTP	KGTP	50	4	5	10	24	1.05053184129211	0.210515106947599	14	26	7.06409804659573	6.60467366267828	1.12477505193531	0.00982367953298986	expression/solubility	50	0.732989854995485	0.0133140735380039
TONB	TONB	50	8	13	10	24	2.45014081292877	0.527219065785003	14	26	7.05893692763939	6.55867056391923	6.91306493767386	-0.00822924142295077	stability	50	0.731927550857811	0.0132430471264156
ASNS	ASNS	50	12	25	10	24	1.16415461441853	0.237312674422273	14	26	7.02677768793933	6.81502158861427	-1.11562554602652	0.0272396909621094	stability	50	0.730865246720136	0.0131725713071652
ENTB	ENTB	30	4	13	6	16	30.1003873039221	5.89802354899153	10	14	6.99848541214056	6.68379957032738	5.67356055881881	-0.00828365506913446	expression/solubility	30	0.820724438331041	0.0380335715324141
EFEO	EFEO	50	9	23	10	24	2.83441974843853	0.62033808846493	14	26	6.97257912216573	6.54357816484034	-5.26800341891009	0.0134303652211832	stability	50	0.729841708275789	0.0132442317718
MALK	MALK	40	11	15	8	20	1.27104534316358	0.242105267458886	12	20	6.96952447594198	6.4494335740896	-5.4243020391069	0.0153103589946984	expression/solubility	40	0.717948717948718	0.0167745027558112
EPMA	EPMA	30	5	9	6	16	0.935730608722907	0.150333195594773	10	14	6.96678771454262	6.59422768166228	-7.07871748836185	-0.00584593479700078	stability	30	0.818525736558523	0.0379677600692809
RSMG	RSMG	50	3	10	10	24	1.55218395684565	0.328094571253194	14	26	6.95899045637394	6.40986769446734	-4.46294055882184	-0.0220053859922509	stability	50	0.728779347710613	0.0131740882086149
RSEB	RSEB	40	3	12	8	20	1.05668011946662	0.19590612926529	12	20	6.95439952388652	6.59862617565305	-2.1417998277829	0.0156947250823155	stability	40	0.715442764578834	0.0172236221102312
GSS	GSS	40	13	16	8	20	0.514478020138952	0.0778559573343849	12	20	6.95198030049366	6.51518233948693	3.31138975244371	0.0202977148263673	expression/solubility	40	0.712742980561555	0.0170012087106426
YTFJ	YTFJ	50	4	7	10	24	1.04256802928064	0.212198907504272	14	26	6.93537046029794	6.29616323239498	-3.16273006698769	0.0122677607875267	expression/solubility	50	0.727948990435707	0.0139453829585384
SODB	SODB	50	6	8	10	24	1.54254580494785	0.327163851186132	14	26	6.92725306443887	6.89357339461168	-6.55298831563702	-0.00290292889137847	expression/solubility	50	0.726886291179596	0.0138718757858702
DCYD	DCYD	50	7	11	10	24	3.86932591803688	0.864349329561109	14	26	6.89522378291022	6.21139841143121	2.86461628890649	0.00851310145700907	expression/solubility	50	0.725900733340419	0.0140764020533693
GLNH	GLNH	50	10	19	10	24	0.721043789285521	0.140026588725664	14	26	6.8556567286567	6.63377054350939	1.85064392345116	0.0180221237873846	expression/solubility	50	0.724953494552219	0.014416688812118
CYSB	CYSB	30	4	6	6	16	0.699881080626101	0.105768693815859	10	14	6.8449796478761	6.86392394173892	2.38879214255633	0.0185409389611419	stability	30	0.81651376146789	0.0388816076889471
HYBO	HYBO	40	2	5	8	20	6.85162490860029	1.48741919105293	12	20	6.78332218234861	6.71633290424219	4.27980143648363	0.0163421012304746	stability	40	0.710139057648171	0.0171078954797059
YFHH	YFHH	30	3	5	6	16	0.782089572538323	0.123546539539418	10	14	6.77910246513576	7.69897000433602	-8.21473563198651	0.0157717965280723	stability	30	0.814220183486238	0.0383162439287642
FDNG	FDNG	50	3	10	10	24	1.88691982093395	0.413796268203525	14	26	6.77493715111239	6.18465751888701	-3.79008877433686	-0.0160191731185264	expression/solubility	50	0.724005953646609	0.0147533288667611
ILVB	ILVB	40	5	12	8	20	1.11944820068322	0.215417063329223	12	20	6.75402598085412	5.69897000433602	-7.749538943325	-0.0128204386549222	expression/solubility	40	0.707438909140003	0.0168893072902793
GADB	GADB	50	2	3	10	24	0.66501682695741	0.129362867450627	14	26	6.7308696445311	6.6417558912263	2.44465713868744	0.0171481197039603	stability	50	0.722981234384137	0.0148129613811787
TAM	TAM	30	2	3	6	16	1.58327566210895	0.287731358506166	10	14	6.72282445381319	6.64859615295303	2.94554634327535	0.0231039333252496	expression/solubility	30	0.812019727032917	0.0382404638893408
YGEA	YGEA	40	2	7	8	20	1.40082614329503	0.279665867775991	12	20	6.71221371618945	6.50134246810385	-0.351359221731632	0.0876076864689669	stability	40	0.704738760631835	0.0166746224613782
RUVA	RUVA	50	3	4	10	24	1.08071950291429	0.227520845502381	14	26	6.70987665741305	7.69897000433602	-6.75691275091474	0.0148979377569489	stability	50	0.721918026686513	0.0147357799454738
LPTD	LPTD	50	24	28	10	24	1.06543515867265	0.224340729080538	14	26	6.69584714912126	6.64388529296249	-2.13164625052703	0.0131072465188723	stability	50	0.720854818988889	0.0146591744906323
YBAL	YBAL	50	6	9	10	24	3.9236071153752	0.90034505886082	14	26	6.67016492595164	6.26485177344063	3.33670407147144	0.0106141103745273	expression/solubility	50	0.719868148226913	0.0148522982254995
FECA	FECA	50	18	28	10	24	9.36604797602671	2.18781827292878	14	26	6.66349155443206	7.25160551446621	7.93515756212585	0.00517411679183632	expression/solubility	50	0.718804827476208	0.0147754325647887
ILVN	ILVN	30	2	6	6	16	1.48383610551453	0.271277307099525	10	14	6.62126066165317	6.76046151482772	-0.568934369969087	-0.00995709075743425	stability	30	0.809911666857864	0.0386337174420705
NFO	NFO	50	7	10	10	24	1.37821983720098	0.300883782350407	14	26	6.62111218744994	5.69897000433602	1.0225883328661	0.0156330217340099	stability	50	0.717856003403169	0.0150988163077419
HLDE	HLDE	40	3	25	8	20	0.894052150228984	0.168707977382944	12	20	6.61043363775936	6.72852164855272	-1.90570198734126	0.016178145309116	stability	40	0.702228224172856	0.0170896249245607
PYRG	PYRG	40	12	34	8	20	0.82316132676092	0.153735152762454	12	20	6.56337150028047	6.65386162892317	-2.31171138748652	0.0178369445715755	stability	40	0.699527346387576	0.016874563180402
USPE	USPE	40	2	9	8	20	1.7956019312467	0.375547985892725	12	20	6.55755131569114	6.67424766692237	2.88863457230791	0.0236251432903748	expression/solubility	40	0.696826468602296	0.0166632416404897
NARL	NARL	30	5	7	6	16	1.11628101056022	0.1974505730234	10	14	6.55560114499641	6.711318826221	2.98410050655314	0.0244568148611722	stability	30	0.807895340830847	0.0394767041542346
TKTA	TKTA	50	13	33	10	24	2.40857761002547	0.55169323107021	14	26	6.53208384320381	5.69897000433602	-0.965332656328584	0.000696547187337069	expression/solubility	50	0.716906876562251	0.0154187692201808
ARGE	ARGE	50	3	6	10	24	9.07448915957422	2.15569127574103	14	26	6.51686004313586	6.63454168115674	2.15446678378173	0.00802463905850485	expression/solubility	50	0.715881289224551	0.0154714271297613
ATPC	ATPC	40	4	4	8	20	0.544226787231779	0.0909591976222186	12	20	6.51501451315313	7.47543392245902	-0.867943050656307	0.0349616385438939	expression/solubility	40	0.694125590817016	0.0164555635754034
QUED	QUED	50	5	8	10	24	0.323412622840303	0.0516412437646158	14	26	6.48424597925163	7.69573251562961	-5.04484203230078	0.0216920997879715	expression/solubility	50	0.714931645300282	0.0157858994673967
YCIA	YCIA	50	5	8	10	24	0.503110900166435	0.0951018448425462	14	26	6.47875163934225	7.69897000433602	-6.22780363667794	0.0129751420455632	expression/solubility	50	0.713867758923347	0.0157050906963136
GCVT	GCVT	30	6	14	6	16	1.82108049573733	0.348121895649047	10	14	6.46433721253606	5.69897000433602	5.08792963144619	-0.0219207312414494	expression/solubility	30	0.805785123966942	0.0398365679264556
MDOD	MDOD	40	4	19	8	20	1.194132342191	0.241923552993227	12	20	6.45388783225496	6.61962582762378	-3.24141020530798	0.0157054915940318	expression/solubility	40	0.69151809832523	0.0165491510710311
YQGF	YQGF	40	2	6	8	20	0.517790860519082	0.0858770616047005	12	20	6.45147883992051	7.69897000433602	-2.42777017413369	0.0184238537200735	expression/solubility	40	0.688816855753647	0.0163448067466967
TKTB	TKTB	50	2	17	10	24	2.78969925713663	0.650379499599569	14	26	6.4417675088819	6.46937518293218	3.40537720745845	0.0180553211275005	expression/solubility	50	0.712803872546412	0.0156248674960355
ARGH	ARGH	40	4	14	8	20	1.81981008959352	0.388883925281645	12	20	6.40407350993233	5.69897000433602	3.46341005929692	-0.0116218142945519	expression/solubility	40	0.686300999729803	0.0167249823463565
YIBN	YIBN	50	5	6	10	24	1.01817714129985	0.222001804539287	14	26	6.39597200396626	7.69897000433602	-1.18057869703801	0.0312194945013238	expression/solubility	50	0.711853585869334	0.0159331849544761
YAHO	YAHO	40	2	4	8	20	11.2451691421787	2.59772555554089	12	20	6.33871804442858	6.35715360994326	3.23367616823234	0.0073766884075955	expression/solubility	40	0.683783783783784	0.0170945945945946
BTUR	BTUR	50	2	6	10	24	0.809655668123813	0.172899302205263	14	26	6.32440787048752	6.63460258966185	-1.80758454856511	0.013146980807853	stability	50	0.710902995796307	0.0162382518823977
ACCD	ACCD	50	5	20	10	24	0.506203976902639	0.0983215037588112	14	26	6.32013810040555	7.5644409720973	-2.73883399596035	0.0210763696213878	expression/solubility	50	0.709838769754696	0.0161558286306176
PFLB	PFLB	50	2	43	10	24	1.78458440359702	0.413254358112782	14	26	6.31441319861796	6.70065303981502	-3.60920169727905	0.00826106462520238	stability	50	0.708812260536398	0.0162014230979748
RSMA	RSMA	30	8	9	6	16	0.245148934215549	0.0184553777477918	10	14	6.30161971391915	5.69897000433602	-1.37689355909142	-0.0143924479666001	expression/solubility	30	0.803950844148386	0.041537460281
POTA	POTA	50	8	17	10	24	0.618799727844607	0.127063623514213	14	26	6.26676319608374	6.05075485812649	-4.08304801967686	-0.0136348624453514	expression/solubility	50	0.707823310271421	0.0163731370703354
YRDA	YRDA	50	8	11	10	24	0.49801564350788	0.0973972518273411	14	26	6.25096949970884	6.08436961374707	9.69115665982089	-0.00879134493306344	expression/solubility	50	0.706796529884507	0.016416727910438
AROB	AROB	50	2	9	10	24	3.89183174398257	0.940245482782689	14	26	6.2455551457652	5.69897000433602	11.013668293952	-0.0215024788421245	stability	50	0.705732077279259	0.0163340816472761
ACCC	ACCC	50	5	29	10	24	2.35198025081707	0.558348203499358	14	26	6.23878938524828	7.69897000433602	-3.7639974790107	0.027032065565293	stability	50	0.704667624674011	0.016252017400052
ELAB	ELAB	50	3	5	10	24	8.63503775602623	2.12295833912393	14	26	6.2268163210617	6.57703424168273	2.58388830417245	0.0161271573052597	expression/solubility	50	0.703603172068764	0.0161705290422821
YECD	YECD	50	3	4	10	24	1.83508959653799	0.430969512074146	14	26	6.21951076992091	6.48080171432045	2.74467737716388	0.0146192543704763	expression/solubility	50	0.702538719463516	0.0160896105331679
AMID	AMID	30	3	5	6	16	0.613061864283153	0.0987596099569812	10	14	6.21771415235959	6.7174513570299	-2.85856835256742	0.0151266711469672	stability	30	0.801838024124067	0.0418541825779046
CRP	CRP	40	6	15	8	20	1.7229331265689	0.376021865103447	12	20	6.21277018855317	6.68850086964446	4.06946388951042	0.0180427076581446	stability	40	0.681265206812652	0.0174539019927208
MANY	MANY	30	2	2	6	16	1.19829955672911	0.225971270024962	10	14	6.20264267569331	7.25964494358572	2.00380397854414	0.0130124677126905	expression/solubility	30	0.799632352941177	0.0417199488491049
INSE1	INSE1	50	2	4	10	24	15.0731454774447	3.74843319963256	14	26	6.17612855344136	6.30448782372679	3.92823067711427	0.00737889700951248	stability	50	0.701548943418321	0.0162554023474977
INSE2	INSE2	50	2	4	10	24	15.0731454774447	3.74843319963256	14	26	6.17612855344136	6.30448782372679	3.92823067711427	0.00737889700951248	stability	50	0.700484377495076	0.0161743788553551
INSE3	INSE3	50	2	4	10	24	15.0731454774447	3.74843319963256	14	26	6.17612855344136	6.30448782372679	3.92823067711427	0.00737889700951248	stability	50	0.699419811571832	0.016093916079421
INSE4	INSE4	50	2	4	10	24	15.0731454774447	3.74843319963256	14	26	6.17612855344136	6.30448782372679	3.92823067711427	0.00737889700951248	stability	50	0.698355245648587	0.0160140082191831
INSE5	INSE5	50	2	4	10	24	15.0731454774447	3.74843319963256	14	26	6.17612855344136	6.30448782372679	3.92823067711427	0.00737889700951248	stability	50	0.697290679725342	0.0159346495538609
DCUA	DCUA	50	4	6	10	24	0.671183533108749	0.14209078144842	14	26	6.17014265968635	6.07693161514108	-6.68393491989749	-0.0151315807593396	expression/solubility	50	0.696226113802097	0.0158558344410409
LSRF	LSRF	50	5	8	10	24	0.571097456181911	0.117087816580663	14	26	6.16589723160935	6.51375443349772	3.00441178146996	0.0187628167930913	expression/solubility	50	0.695161547878852	0.0157775573153391
TESA	TESA	50	4	9	10	24	4.3673224611332	1.06963864595807	14	26	6.16041153580948	6.59169787287166	1.68694610860709	0.0143785179256376	expression/solubility	50	0.694096981955608	0.0156998126870911
MALY	MALY	40	2	7	8	20	0.746418476081972	0.145227552481084	12	20	6.15971854408388	7.1186778535087	-3.58202825695893	0.0114149503867501	stability	40	0.678561773452284	0.0172421434237876
TPIA	TPIA	50	4	11	10	24	2.01179779721067	0.479280172669087	14	26	6.15036353168516	6.5463979179346	-2.12531246791987	0.010320962282436	stability	50	0.693069306930693	0.0157408961235107
DEGS	DEGS	40	5	5	8	20	0.438276148506225	0.0716940959337613	12	20	6.14832807751971	6.42637159806622	-5.50241314499746	-0.00145108997803848	expression/solubility	40	0.675858340091917	0.0170338280836174
